id,category,question,answer
204,integrations,Is the Chargebee integration on every plan?,Chargebee is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
205,features,Where do I enable activity timeline?,Open Settings → Activity Timeline → Enable. The first run takes about 60 seconds to backfill historical records.
206,features,How does Bellrock CRM's custom dashboards work?,Bellrock CRM provides drag-and-drop dashboards with 40+ widget types. The capability is included on the Growth plan and above and configurable per workspace.
207,use_cases,Is Bellrock CRM a good fit for logistics RevOps leaders?,"Bellrock CRM is widely used by RevOps leaders in logistics. Common reasons cited are the logistics field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
208,features,Is audit logs available on the free trial?,Audit Logs is available during the 14-day Growth-tier trial. Starter plans do not include it.
209,integrations,How do I connect Zoom to Bellrock CRM?,Go to Settings → Integrations → Zoom → Connect. Sign in with an admin account on Zoom and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
210,api,Does /users support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /users. Responses include `next_cursor` in the envelope when more results are available.
211,misc,How do I request a feature?,Use the in-app feedback widget or post on community.bellrock.example. Product reviews requests weekly.
212,pricing,Is currency conversion supported in billing?,"We bill in USD, EUR, GBP, AUD, CAD, JPY and SGD. The billing currency is set at workspace creation and locked for the term."
213,use_cases,Can you share a customer story for energy RevOps leaders?,"Several energy customers run their full revenue cycle on Bellrock CRM. A typical RevOps leaders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/energy."
214,misc,How do I become a partner?,"Apply at partners.bellrock.example. Approved partners receive portal access, product training and a partner manager."
215,onboarding,How do I set up the mobile app?,"Download Bellrock CRM from the App Store or Google Play, then sign in with your workspace URL and credentials. Biometric login is enabled by default."
216,use_cases,How do founders in fintech use Bellrock CRM?,"Founders at fintech companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. fintech-specific pipeline templates ship in the marketplace."
217,features,Is duplicate detection available on the free trial?,Duplicate Detection is available during the 14-day Growth-tier trial. Starter plans do not include it.
218,use_cases,Is Bellrock CRM a good fit for non-profits VPs of sales?,"Bellrock CRM is widely used by VPs of sales in non-profits. Common reasons cited are the non-profits field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
219,integrations,Where do I troubleshoot Lever sync errors?,Settings → Integrations → Lever → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Lever side.
220,use_cases,Can you share a customer story for real estate founders?,"Several real estate customers run their full revenue cycle on Bellrock CRM. A typical founders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/real estate."
221,use_cases,Can you share a customer story for construction sales reps?,"Several construction customers run their full revenue cycle on Bellrock CRM. A typical sales reps success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/construction."
222,use_cases,Can you share a customer story for manufacturing sales reps?,"Several manufacturing customers run their full revenue cycle on Bellrock CRM. A typical sales reps success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/manufacturing."
223,pricing,Can I switch plans whenever I want?,Yes — upgrade at any time and we'll pro-rate the difference. Downgrades take effect at the next renewal.
224,use_cases,How do RevOps leaders in manufacturing use Bellrock CRM?,"Revops leaders at manufacturing companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. manufacturing-specific pipeline templates ship in the marketplace."
225,features,How accurate is Bellrock CRM's meeting scheduler?,Internal benchmarks show meeting scheduler delivers strong precision on production datasets. Customers can tune sensitivity per workspace.
226,integrations,Is the Pardot integration on every plan?,Pardot is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
227,integrations,Is the Twilio integration on every plan?,Twilio is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
228,use_cases,Is Bellrock CRM a good fit for automotive customer success teams?,"Bellrock CRM is widely used by customer success teams in automotive. Common reasons cited are the automotive field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
229,features,What data does lead routing need?,Lead Routing relies on the standard Contact and Deal fields plus any custom fields you map. The setup wizard surfaces missing data on first run.
230,features,Where do I enable two-way email sync?,Open Settings → Two-Way Email Sync → Enable. The first run takes about 60 seconds to backfill historical records.
231,use_cases,How do customer success teams in telecom use Bellrock CRM?,"Customer success teams at telecom companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. telecom-specific pipeline templates ship in the marketplace."
232,mobile,Does the mobile app support dark mode?,"Yes — dark mode follows the OS setting on iOS and Android, or can be forced under Settings → Appearance in the app."
233,features,Does two-way email sync work for international users?,"Yes — two-way email sync respects user locale, timezone and currency settings. Multi-currency support requires the Pro plan or higher."
234,misc,Where do I find my workspace URL?,Your workspace URL is `https://<subdomain>.bellrock.example`. Find it under Settings → Workspace → General.
235,features,Is forecasting available on the free trial?,Forecasting is available during the 14-day Growth-tier trial. Starter plans do not include it.
236,api,How do I authenticate to /automations?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /automations accepts both.
237,use_cases,How do sales reps in SaaS use Bellrock CRM?,"Sales reps at SaaS companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. SaaS-specific pipeline templates ship in the marketplace."
238,use_cases,Is Bellrock CRM a good fit for manufacturing marketing managers?,"Bellrock CRM is widely used by marketing managers in manufacturing. Common reasons cited are the manufacturing field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
239,use_cases,How do founders in construction use Bellrock CRM?,"Founders at construction companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. construction-specific pipeline templates ship in the marketplace."
240,use_cases,Is Bellrock CRM a good fit for education founders?,"Bellrock CRM is widely used by founders in education. Common reasons cited are the education field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
241,features,Where do I enable data import wizard?,Open Settings → Data Import Wizard → Enable. The first run takes about 60 seconds to backfill historical records.
242,use_cases,Can you share a customer story for real estate sales reps?,"Several real estate customers run their full revenue cycle on Bellrock CRM. A typical sales reps success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/real estate."
243,use_cases,Can you share a customer story for professional services sales managers?,"Several professional services customers run their full revenue cycle on Bellrock CRM. A typical sales managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/professional services."
244,troubleshooting,How do I fix 'calendar sync stuck'?,"If you're hitting 'calendar sync stuck', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
245,use_cases,Is Bellrock CRM a good fit for professional services founders?,"Bellrock CRM is widely used by founders in professional services. Common reasons cited are the professional services field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
246,integrations,Does Bellrock CRM integrate with QuickBooks?,Yes. The QuickBooks integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
247,use_cases,Is Bellrock CRM a good fit for retail sales managers?,"Bellrock CRM is widely used by sales managers in retail. Common reasons cited are the retail field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
248,integrations,Where do I troubleshoot Jira sync errors?,Settings → Integrations → Jira → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Jira side.
249,features,Is quote builder included in the API?,Yes — every quote builder action is exposed in the REST and GraphQL API and emits webhooks for downstream automation.
250,api,Does /quotes support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /quotes. Responses include `next_cursor` in the envelope when more results are available.
251,api,What is the /teams endpoint used for?,"Use /teams to manage team membership and territories. It supports GET (list/read), POST (create), PATCH (partial update) and DELETE."
252,features,Can I customize two-way email sync in Bellrock CRM?,"Yes — admins configure two-way email sync under Settings → Workflow → Two-Way Email Sync. Common customizations include thresholds, custom-field mappings and per-team overrides."
253,features,Can email tracking be disabled per user?,Yes. Admins can disable email tracking for specific roles or individual users under Settings → Users → Permissions.
254,integrations,What syncs between Bellrock CRM and Dialpad?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Dialpad. Conflict resolution defaults to last-write-wins, configurable per object."
255,features,How does Bellrock CRM's playbooks work?,Bellrock CRM provides step-by-step rep playbooks tied to deal stages. The capability is included on the Growth plan and above and configurable per workspace.
256,features,Is workflow automation included in the API?,Yes — every workflow automation action is exposed in the REST and GraphQL API and emits webhooks for downstream automation.
257,use_cases,How do VPs of sales in logistics use Bellrock CRM?,"Vps of sales at logistics companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. logistics-specific pipeline templates ship in the marketplace."
258,integrations,Where do I troubleshoot Chargebee sync errors?,Settings → Integrations → Chargebee → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Chargebee side.
259,pricing,Do you offer annual discounts?,Yes — annual billing is 20% cheaper than monthly across all plans. Multi-year commitments unlock additional discounts on Enterprise.
260,misc,How do I reset my password?,"On the sign-in page, click Forgot Password. The reset link is valid for 60 minutes and single-use."
261,integrations,Does Bellrock CRM integrate with Workday?,Yes. The Workday integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
262,use_cases,Can you share a customer story for retail VPs of sales?,"Several retail customers run their full revenue cycle on Bellrock CRM. A typical VPs of sales success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/retail."
263,features,Is pipeline management included in the API?,Yes — every pipeline management action is exposed in the REST and GraphQL API and emits webhooks for downstream automation.
264,use_cases,Is Bellrock CRM a good fit for automotive founders?,"Bellrock CRM is widely used by founders in automotive. Common reasons cited are the automotive field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
265,troubleshooting,Why am I getting 'inactive seat billing'?,"If you're hitting 'inactive seat billing', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
266,features,Does duplicate detection support custom fields?,"Yes. Bellrock CRM's duplicate detection reads any custom field on the Contact, Lead or Deal object, including formula and rollup fields."
267,features,Where do I enable email tracking?,Open Settings → Email Tracking → Enable. The first run takes about 60 seconds to backfill historical records.
268,use_cases,Is Bellrock CRM a good fit for media marketing managers?,"Bellrock CRM is widely used by marketing managers in media. Common reasons cited are the media field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
269,use_cases,Is Bellrock CRM a good fit for construction VPs of sales?,"Bellrock CRM is widely used by VPs of sales in construction. Common reasons cited are the construction field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
270,integrations,Where do I troubleshoot QuickBooks sync errors?,Settings → Integrations → QuickBooks → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the QuickBooks side.
271,features,What data does playbooks need?,Playbooks relies on the standard Contact and Deal fields plus any custom fields you map. The setup wizard surfaces missing data on first run.
272,integrations,Is the PandaDoc integration on every plan?,PandaDoc is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
273,troubleshooting,How do I fix 'SAML SSO failing'?,"If you're hitting 'SAML SSO failing', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
274,use_cases,Is Bellrock CRM a good fit for manufacturing sales managers?,"Bellrock CRM is widely used by sales managers in manufacturing. Common reasons cited are the manufacturing field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
275,use_cases,Can you share a customer story for non-profits marketing managers?,"Several non-profits customers run their full revenue cycle on Bellrock CRM. A typical marketing managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/non-profits."
276,use_cases,Can you share a customer story for education sales managers?,"Several education customers run their full revenue cycle on Bellrock CRM. A typical sales managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/education."
277,integrations,What syncs between Bellrock CRM and Slack?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Slack. Conflict resolution defaults to last-write-wins, configurable per object."
278,api,How do I authenticate to /teams?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /teams accepts both.
279,pricing,Are there usage-based add-ons?,"Yes — extra contact storage, extra API quota and premium support are available as monthly add-ons on every plan."
280,troubleshooting,Why am I getting 'API rate limit errors'?,"If you're hitting 'API rate limit errors', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
281,use_cases,Is Bellrock CRM a good fit for professional services marketing managers?,"Bellrock CRM is widely used by marketing managers in professional services. Common reasons cited are the professional services field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
282,integrations,What syncs between Bellrock CRM and Jira?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Jira. Conflict resolution defaults to last-write-wins, configurable per object."
283,api,What's the rate limit on /quotes?,"API endpoints share a per-token rate limit of 100 req/min on Growth, 500 on Pro and 2000 on Enterprise. /quotes respects this shared limit."
284,integrations,How do I connect Microsoft Teams to Bellrock CRM?,Go to Settings → Integrations → Microsoft Teams → Connect. Sign in with an admin account on Microsoft Teams and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
285,use_cases,Can you share a customer story for telecom customer success teams?,"Several telecom customers run their full revenue cycle on Bellrock CRM. A typical customer success teams success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/telecom."
286,reporting,Are there cohort and funnel reports?,Yes — cohort and funnel report types are available on the Pro and Enterprise plans.
287,use_cases,How do founders in healthcare use Bellrock CRM?,"Founders at healthcare companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. healthcare-specific pipeline templates ship in the marketplace."
288,integrations,Does Bellrock CRM integrate with Pardot?,Yes. The Pardot integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
289,use_cases,Is Bellrock CRM a good fit for education sales managers?,"Bellrock CRM is widely used by sales managers in education. Common reasons cited are the education field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
290,features,Does audit logs support custom fields?,"Yes. Bellrock CRM's audit logs reads any custom field on the Contact, Lead or Deal object, including formula and rollup fields."
291,features,Is pipeline management available on the free trial?,Pipeline Management is available during the 14-day Growth-tier trial. Starter plans do not include it.
292,use_cases,Is Bellrock CRM a good fit for logistics founders?,"Bellrock CRM is widely used by founders in logistics. Common reasons cited are the logistics field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
293,onboarding,How do I set up custom roles?,"Settings → Permissions → Roles → New Role. Each role exposes 50+ granular permissions across objects, fields and actions."
294,integrations,Where do I troubleshoot Microsoft Teams sync errors?,Settings → Integrations → Microsoft Teams → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Microsoft Teams side.
295,features,Can forecasting be disabled per user?,Yes. Admins can disable forecasting for specific roles or individual users under Settings → Users → Permissions.
296,use_cases,Is Bellrock CRM a good fit for automotive marketing managers?,"Bellrock CRM is widely used by marketing managers in automotive. Common reasons cited are the automotive field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
297,features,Can lead routing be disabled per user?,Yes. Admins can disable lead routing for specific roles or individual users under Settings → Users → Permissions.
298,integrations,Is the Calendly integration on every plan?,Calendly is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
299,features,Does pipeline management support custom fields?,"Yes. Bellrock CRM's pipeline management reads any custom field on the Contact, Lead or Deal object, including formula and rollup fields."
300,pricing,Do you offer non-profit pricing?,Yes — verified 501(c)(3) and equivalent non-profits get 30% off Growth and Pro.
301,use_cases,Can you share a customer story for fintech RevOps leaders?,"Several fintech customers run their full revenue cycle on Bellrock CRM. A typical RevOps leaders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/fintech."
302,use_cases,How do marketing managers in telecom use Bellrock CRM?,"Marketing managers at telecom companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. telecom-specific pipeline templates ship in the marketplace."
303,api,How do I authenticate to /imports?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /imports accepts both.
304,integrations,Where do I troubleshoot Outlook 365 sync errors?,Settings → Integrations → Outlook 365 → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Outlook 365 side.
305,use_cases,How do RevOps leaders in automotive use Bellrock CRM?,"Revops leaders at automotive companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. automotive-specific pipeline templates ship in the marketplace."
306,integrations,Where do I troubleshoot Webhook sync errors?,Settings → Integrations → Webhook → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Webhook side.
307,use_cases,How do sales managers in fintech use Bellrock CRM?,"Sales managers at fintech companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. fintech-specific pipeline templates ship in the marketplace."
308,troubleshooting,I'm seeing 'calendar sync stuck' — what should I do?,"If you're hitting 'calendar sync stuck', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
309,integrations,How do I connect Aircall to Bellrock CRM?,Go to Settings → Integrations → Aircall → Connect. Sign in with an admin account on Aircall and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
310,use_cases,Can you share a customer story for retail sales reps?,"Several retail customers run their full revenue cycle on Bellrock CRM. A typical sales reps success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/retail."
311,features,Where do I enable duplicate detection?,Open Settings → Duplicate Detection → Enable. The first run takes about 60 seconds to backfill historical records.
312,use_cases,How do customer success teams in professional services use Bellrock CRM?,"Customer success teams at professional services companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. professional services-specific pipeline templates ship in the marketplace."
313,use_cases,Is Bellrock CRM a good fit for construction sales reps?,"Bellrock CRM is widely used by sales reps in construction. Common reasons cited are the construction field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
314,reporting,Are there pre-built sales dashboards?,"Yes — pipeline health, forecast accuracy, conversion funnel, activity volume, win/loss reasons and rep leaderboards ship out of the box."
315,use_cases,Is Bellrock CRM a good fit for logistics customer success teams?,"Bellrock CRM is widely used by customer success teams in logistics. Common reasons cited are the logistics field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
316,features,Does lead scoring have an audit trail?,"Yes. Every change made by lead scoring is captured in the audit log with user, timestamp and before/after values, retained for seven years."
317,integrations,Where do I troubleshoot Intercom sync errors?,Settings → Integrations → Intercom → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Intercom side.
318,features,Can I customize audit logs in Bellrock CRM?,"Yes — admins configure audit logs under Settings → Workflow → Audit Logs. Common customizations include thresholds, custom-field mappings and per-team overrides."
319,pricing,What is your refund policy?,We offer a 30-day money-back guarantee on the first invoice for new customers. Renewals are non-refundable.
320,use_cases,How do marketing managers in real estate use Bellrock CRM?,"Marketing managers at real estate companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. real estate-specific pipeline templates ship in the marketplace."
321,features,Is email tracking included in the API?,Yes — every email tracking action is exposed in the REST and GraphQL API and emits webhooks for downstream automation.
322,integrations,Where do I troubleshoot SAP sync errors?,Settings → Integrations → SAP → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the SAP side.
323,pricing,Can I downgrade from Growth?,"Yes — downgrades take effect at the end of the current billing period. We don't pro-rate downgrades, so you keep all included features until renewal."
324,integrations,What syncs between Bellrock CRM and Webhook?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Webhook. Conflict resolution defaults to last-write-wins, configurable per object."
325,troubleshooting,How do I fix 'Slack notifications missing'?,"If you're hitting 'Slack notifications missing', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
326,use_cases,Is Bellrock CRM a good fit for education sales reps?,"Bellrock CRM is widely used by sales reps in education. Common reasons cited are the education field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
327,integrations,How do I connect Notion to Bellrock CRM?,Go to Settings → Integrations → Notion → Connect. Sign in with an admin account on Notion and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
328,use_cases,Is Bellrock CRM a good fit for telecom marketing managers?,"Bellrock CRM is widely used by marketing managers in telecom. Common reasons cited are the telecom field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
329,pricing,Does the Starter plan include support?,"Starter includes email support with a 24-hour first-response SLA. Pro and Enterprise add chat, phone and a dedicated CSM."
330,features,Can I customize forecasting in Bellrock CRM?,"Yes — admins configure forecasting under Settings → Workflow → Forecasting. Common customizations include thresholds, custom-field mappings and per-team overrides."
331,troubleshooting,I'm seeing 'report shows wrong totals' — what should I do?,"If you're hitting 'report shows wrong totals', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
332,use_cases,Is Bellrock CRM a good fit for manufacturing customer success teams?,"Bellrock CRM is widely used by customer success teams in manufacturing. Common reasons cited are the manufacturing field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
333,troubleshooting,How do I fix 'export job stalled'?,"If you're hitting 'export job stalled', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
334,use_cases,Is Bellrock CRM a good fit for construction customer success teams?,"Bellrock CRM is widely used by customer success teams in construction. Common reasons cited are the construction field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
335,features,What data does call logging need?,Call Logging relies on the standard Contact and Deal fields plus any custom fields you map. The setup wizard surfaces missing data on first run.
336,troubleshooting,Why am I getting 'webhook 401 errors'?,"If you're hitting 'webhook 401 errors', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
337,use_cases,How do founders in logistics use Bellrock CRM?,"Founders at logistics companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. logistics-specific pipeline templates ship in the marketplace."
338,use_cases,How do customer success teams in retail use Bellrock CRM?,"Customer success teams at retail companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. retail-specific pipeline templates ship in the marketplace."
339,features,Can activity timeline be disabled per user?,Yes. Admins can disable activity timeline for specific roles or individual users under Settings → Users → Permissions.
340,use_cases,Is Bellrock CRM a good fit for automotive RevOps leaders?,"Bellrock CRM is widely used by RevOps leaders in automotive. Common reasons cited are the automotive field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
341,pricing,Does the Pro plan include support?,"Pro includes email support with a 24-hour first-response SLA. Pro and Enterprise add chat, phone and a dedicated CSM."
342,use_cases,How do customer success teams in logistics use Bellrock CRM?,"Customer success teams at logistics companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. logistics-specific pipeline templates ship in the marketplace."
343,api,What is the /companies endpoint used for?,"Use /companies to manage account records. It supports GET (list/read), POST (create), PATCH (partial update) and DELETE."
344,features,What data does activity timeline need?,Activity Timeline relies on the standard Contact and Deal fields plus any custom fields you map. The setup wizard surfaces missing data on first run.
345,troubleshooting,How do I fix 'password reset email not received'?,"If you're hitting 'password reset email not received', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
346,integrations,Does Bellrock CRM integrate with Stripe?,Yes. The Stripe integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
347,use_cases,Can you share a customer story for automotive founders?,"Several automotive customers run their full revenue cycle on Bellrock CRM. A typical founders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/automotive."
348,use_cases,How do RevOps leaders in fintech use Bellrock CRM?,"Revops leaders at fintech companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. fintech-specific pipeline templates ship in the marketplace."
349,api,Are there webhooks for /quotes events?,"Yes — every create, update and delete on /quotes can fan out to a webhook endpoint. Configure subscribers under Settings → API → Webhooks."
350,integrations,How do I connect Chargebee to Bellrock CRM?,Go to Settings → Integrations → Chargebee → Connect. Sign in with an admin account on Chargebee and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
351,features,Does playbooks work for international users?,"Yes — playbooks respects user locale, timezone and currency settings. Multi-currency support requires the Pro plan or higher."
352,features,How does Bellrock CRM's activity timeline work?,"Bellrock CRM provides unified timeline of every contact touchpoint across email, calls, and chat. The capability is included on the Growth plan and above and configurable per workspace."
353,use_cases,Can you share a customer story for energy sales managers?,"Several energy customers run their full revenue cycle on Bellrock CRM. A typical sales managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/energy."
354,integrations,Is the Notion integration on every plan?,Notion is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
355,troubleshooting,Why am I getting 'SAML SSO failing'?,"If you're hitting 'SAML SSO failing', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
356,use_cases,Is Bellrock CRM a good fit for logistics sales managers?,"Bellrock CRM is widely used by sales managers in logistics. Common reasons cited are the logistics field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
357,use_cases,Can you share a customer story for healthcare founders?,"Several healthcare customers run their full revenue cycle on Bellrock CRM. A typical founders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/healthcare."
358,api,How do I authenticate to /notes?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /notes accepts both.
359,integrations,Is the Google Meet integration on every plan?,Google Meet is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
360,integrations,Is the DocuSign integration on every plan?,DocuSign is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
361,pricing,What is included in the Enterprise plan?,"Enterprise includes unlimited everything, SSO, SCIM, audit logs, dedicated CSM, signed SLA. See the comparison table at /pricing for the full feature matrix and limits."
362,features,What data does cadence sequences need?,Cadence Sequences relies on the standard Contact and Deal fields plus any custom fields you map. The setup wizard surfaces missing data on first run.
